Sample	code_gl	Site_c	water_temp [C]	ph [pH]	do [mg l-1]	do_sat [saturation]	w_co2 [mATM]	conductivity [uS cm -1]	turb [NTU]	rdna [boolean]	lat_sn [DD]	lon_sn [DD]	ele_sn [m]	lat_sp [DD]	lon_sp [DD]	ele_sp [m]	max_el [m]	mean_el [m]	sn_sp_dist [m]	sn_sp_ele [m]	abl_asp [°]	gl_sa [km2]	gl_cov [%]	gl_a [km2]	mb_obs	fv_obs	data_ts	sn_data_ts	chla [ug g-1]	eps [ugC g-1]	ag [nmol g-1 h-1]	ap [nmol g-1 h-1]	bg [nmol g-1 h-1]	lap [nmol g-1 h-1]	nag [nmol g-1 h-1]	bp [ngC g-1 h-1]	wba [cells ml-1]	sba [cells g-1]	respiration [mg 02 g-1 h-1]	abs254 [m-1]	abs300 [m-1]	suva [mg C l-1 m-1]	e2e3 [proportion]	e4e6 [proportion]	s275295 [nm-1]	s350400 [nm-1]	s300700 [nm-1]	sr [proportion]	bix [proportion]	fi [proportion]	hix [proportion]	coble_t [RU]	coble_a [RU]	coble_m [RU]	coble_c [RU]	doc [ug l-1]	i1_na [ug l-1]	i2_k [ug l-1]	i3_mg [ug l-1]	i4_ca [ug l-1]	i5_cl [ug l-1]	i6_so4 [ug l-1]	n3_srp [ug l-1]	n4_nh4 [ug l-1]	n5_no3 [ug l-1]	n6_no2 [ug l-1]	hydro_isotope [per_mil]	oxy_isotope [per_mil]
GL88_DN	GL88	Norway	2.7	7.35	13.3	100.7	443.1	16.5	26.4	0	69.4849	19.8366	453	69.4869	19.8298	385	1833	1162	351	68	315	1.1	0.33	3.35	NA	NA	20200803	20200803	4.34E-04	1.632323333	0.001623742	0.228430357	0.004435698	0.159222909	8.65E-04	27.95066167	NA	4762112.593	2.17E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.641934	0.033993	0.341825	1.372305	0.720495	2.682189	2.04	11.25	36.96	0.86	-89.43	-13.0475
GL88_UP	GL88	Norway	0.9	7.18	13.8	100.2	401.8	16.5	36.1	0	69.4849	19.8366	453	69.4854	19.8359	446	1833	1162	57	7	315	1.1	0.36	3.1	NA	NA	20200803	20200803	7.24E-05	1.185130333	4.25E-04	0.092587963	0.001520235	0.032683844	0.001143844	9.294421333	NA	2282893.277	3.16E-05	2.65	1.890333333	1.865	2.316666667	2.984	0.008	0.006666667	0.006333333	1.228666667	3.105649	2.132013333	0.259151667	0.302366333	0.103122	0.077823667	0.005665667	69.5	0.612492	0.029541	0.313871	1.304307	0.697671	2.516042	1.7	5.89	37.44	2.38	-89.9387	-13.1272
GL90_DN	GL90	Norway	1.5	7	13	100.9	338.1	3.4	4.3	0	61.6591	7.154	872	61.6565	7.1551	792	1955	1562	303	80	90	6.43	0.78	8.24	NA	12	20200831	20200831	0.043340889	1.344708667	0.054144781	4.117162495	0.692773485	2.694546996	0.130521491	17.36133333	NA	14816116.4	3.89E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156649	0.039134	0.032689	0.28378	0.230205	0.440289	4.78	48.6	37.02	0.66	-95.1972	-13.5283
GL90_UP	GL90	Norway	0.7	6.46	13.1	100.9	350.1	3.5	3.8	0	61.6591	7.154	872	61.6586	7.1539	859	1955	1562	54	13	90	6.43	0.8	8.05	NA	12	20200831	20200831	0.006315111	0.178873667	0.025177109	1.278612221	0.214934243	1.109333483	0.038066613	7.109603	NA	6366493.157	2.82E-05	0.909666667	0.670666667	0.721	2.127666667	67.37233333	0.007666667	0.010666667	0.006666667	0.708	0.778587667	1.569184	0.837608	0.007808667	0.015521667	0.006392	0.004443333	56.5	0.14892	0.034949	0.048339	0.245563	0.18608	0.403682	1.43	15.05	31.26	0.52	-95.4378	-13.562
GL91_DN	GL91	Norway	5.6	7.24	11.7	101.8	374.8	2.6	3.1	0	61.7124	7.2916	790	61.7132	7.2963	716	1959	1593	262	74	90	17.5	0.89	19.74	NA	114	20200831	20200831	0.043820444	1.650215	0.085222752	1.924798511	0.488773293	3.225196196	0.104210223	60.471695	NA	24672226.6	3.05E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.118793	0.064449	0.029285	0.245582	0.15305	0.1103	2.57	4.76	4.38	1.04	-92.8911	-13.1
GL91_UP	GL91	Norway	1	6.65	13	100.5	432.2	1.3	8.4	0	61.7124	7.2916	790	61.7124	7.2921	779	1959	1592	26	11	90	17.49	0.89	19.69	NA	114	20200831	20200831	0.008144111	0.983258	0.071657311	1.698171727	0.766131285	2.58645917	0.153303678	22.34851233	NA	39254836.6	5.04E-05	0.870333333	0.633333333	0.2765	2.163666667	32.88	0.008333333	0.010333333	0.007	0.783	0.827714333	12.739	0.653818667	0.013011667	0.012366333	0.00532	0.003440667	131.85	0.025741	0.032116	0.026458	0.148717	0.019334	0.046462	2.02	3.07	1.35	0.71	-94.9745	-13.4628
GL92_DN	GL92	Norway	2.2	6.18	13.3	101.7	478.3	3.2	66.2	0	61.6807	7.2015	500	61.676	7.2118	275	1942	1581	767	225	135	45.01	0.79	57.14	59	109	20200831	20200831	0.020805	1.128848667	0.11667708	2.14405398	0.490017615	1.262752266	0.101699831	8.1416335	NA	18800307.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187087	0.107456	0.02678	0.137839	0.202298	0.408849	2.27	19.85	27.29	0.91	-89.6406	-12.7165
GL92_UP	GL92	Norway	2.9	7.83	13.6	104.4	546	5	39.7	0	61.6807	7.2015	500	61.6774	7.2073	363	1942	1580	483	137	135	44.45	0.82	54.3	59	109	20200831	20200831	0.029030556	1.931033667	0.078657316	4.899505752	0.430113658	1.815810666	0.114961902	22.34286667	NA	21202272.33	2.04E-04	3.678333333	2.359333333	0.55	3.47	14.94266667	0.011	0.014	0.011333333	0.760333333	0.703423667	1.283861667	4.210089	0.047976333	0.114949333	0.069931333	0.066336667	289.7666667	0.211638	0.094139	0.037852	0.281869	0.234368	0.494461	2.24	20.08	78.74	0.61	-86.6284	-12.1715
GL93_DN	GL93	Norway	2.9	7.3	11.3	100.4	378.3	4.6	45.6	0	61.5564	8.0515	1447	61.5571	8.0435	1368	1760	1651	431	79	270	0.78	0.63	1.24	NA	46	20200831	20200831	0.013568667	0.631229333	0.028904515	0.690800841	0.16077825	1.073972348	0.043014616	20.81640167	NA	4842507.793	1.84E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.169886	0.434224	0.10608	0.276436	0.077118	1.263038	5.7	14.05	18.39	0.47	-97.1394	-13.4682
GL93_UP	GL93	Norway	0.5	6.53	11.9	99.9	380.6	5.4	38.3	0	61.5564	8.0515	1447	61.5564	8.0515	1447	1760	1649	1	0	270	0.76	0.76	1.01	NA	46	20200831	20200831	0.008112	1.338603667	0.040396635	0.931039033	0.346711341	1.965470455	0.133579309	47.16643833	NA	22588735.66	2.09E-05	3.156	2.022333333	0.263333333	3.355333333	87.97733333	0.010666667	0.013333333	0.011	0.816	0.592555333	1.207613333	8.437193	0.019274	0.114266667	0.066468667	0.061425	521.7666667	0.147285	0.37757	0.085728	0.242721	0.06298	1.129133	6.42	14.47	57.2	0.97	-98.5508	-13.7107
GL94_DN	GL94	Norway	0.6	6.9	12	99.4	297.7	5.3	26	0	61.5817	8.1626	1441	61.5841	8.1654	1365	2097	1756	312	76	45	2.61	0.76	3.44	71	85	20190804	20190804	0.001036555	0.279804667	0.003587358	0.103525819	0.012358838	0.129101673	2.29E-04	3.680432333	NA	4059350.707	1.86E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.194595	0.22693	0.076169	0.374295	0.169545	0.503908	5.88	21.94	51.74	1.08	-100.968	-14.1661
GL94_UP	GL94	Norway	0.6	7.29	12	100	274.2	9.9	79.6	0	61.5817	8.1626	1441	61.5818	8.1625	1441	2097	1757	17	0	45	2.61	0.77	3.39	71	85	20190804	20190804	0.004350333	0.641452	0.003837571	0.156868619	0.034454876	0.333525815	0.016709114	3.007536	NA	1959825.579	4.26E-05	11.64666667	9.330666667	2.625333333	2.019	2.950666667	0.005666667	0.007666667	0.007	0.736333333	1.085773333	1.355406667	0.878371	0.050026333	0.051305333	0.032418333	0.024566	194.5666667	0.427075	0.628295	0.205884	0.710213	0.191226	0.980059	11.16	9.44	72.51	1.67	-97.6106	-13.441
GL95_DN	GL95	Norway	1	6.92	11.9	99.9	301.8	1	46.5	0	61.665	8.2982	1419	61.6679	8.2997	1357	2415	1975	331	62	0	4.35	0.47	9.29	NA	59	20200831	20200831	0.001187778	0.485553667	0.010009927	0.218077264	0.064917445	0.398808383	0.026170536	15.01980083	NA	7552535.467	2.66E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.280389	0.285863	0.097703	0.488927	0.156189	0.642883	5.15	23.23	80.04	0.59	-107.478	-14.8974
GL95_UP	GL95	Norway	0.5	7.07	12.2	99.8	305.2	0.4	28.8	0	61.665	8.2982	1419	61.6653	8.2987	1396	2415	1975	42	23	0	4.35	0.54	8.06	NA	59	20200831	20200831	0.001716778	1.822357333	0.019768006	0.319792659	0.169951474	0.757087353	0.049958908	20.306355	NA	11098765	3.18E-05	4.568666667	3.209333333	1.151666667	2.500666667	3.574333333	0.008333333	0.009	0.008	0.946666667	1.111744333	1.414695	1.206955333	0.044786	0.044958	0.027514	0.015134667	175.5666667	0.278578	0.262728	0.082278	0.44163	0.149401	0.548924	5.9	25.6	79.81	1.18	-107.833	-14.9847
GL96_UP	GL96	Alps	0.2	8.66	11.8	99.1	85.9	126.8	NA	0	45.7881	6.8876	1833	45.7883	6.8885	1812	4801	3079	72	21	135	11.13	0.46	24.07	NA	49	20200807	20200807	0.001166978	0.171227667	1.55E-04	0.072997473	0.001704155	0.733497764	0	NA	NA	4290530.123	1.32E-04	3.191666667	2.558666667	1.922	1.650333333	1.047666667	0.005	0.003333333	0.003	1.435666667	2.113088667	1.483254667	0.402942	0.108239667	0.057350667	0.043131	0.00553	72.8	1.01427	2.60868	1.43359	14.75885	0.290465	36.37834	3.3	16.59	87.23	0.99	-104.557	-14.3505
GL97_DN	GL97	Alps	0.9	7.72	11.5	100.2	217.7	54.4	65	0	45.788	6.7486	2057	45.7892	6.747	2014	3862	2975	201	43	315	7.54	0.45	16.64	3	41	20200807	20200807	0.003262	0	0.006844808	0.246276774	0.109580153	2.843382719	0.007610421	17.5672905	NA	11127668.73	3.06E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29304	0.49111	0.70005	6.82906	0.1215	14.63305	1.53	11.88	62.24	1.09	-96.7728	-13.4539
GL97_UP	GL97	Alps	0.6	7.63	11.4	99.2	237.4	61.9	56.1	0	45.788	6.7486	2057	45.7888	6.7484	2037	3862	2974	85	20	315	7.54	0.46	16.44	3	41	20200807	20200807	0.001823556	0.716031333	0.007130326	0.163203116	0.021152606	1.920792186	0.005709248	22.323792	NA	8497045.38	7.19E-05	4.804333333	3.698666667	1.969333333	1.894333333	1.142666667	0.006	0.004333333	0.004333333	1.402666667	2.274676	1.614162667	0.423981333	0.16053	0.080937333	0.062737333	0.008464333	114.9	0.305568	0.584762	0.752157	8.02374	0.11738	16.10204	2.43	13.32	71.5	1.21	-94.955	-13.2407
GL98_DN	GL98	Alps	2.5	7.5	11.6	101	312.2	18	32.8	0	45.9352	6.922	1599	45.9375	6.9224	1525	4202	2934	265	74	315	36.91	0.53	69.24	8	73	20200807	20200807	0.078126444	0	0.080963747	2.487412058	0.233254368	3.05848901	0.087945179	81.14508833	NA	15829920.37	5.10E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47148	0.69296	0.16677	1.53704	0.29138	2.36573	3.28	10.9	44.2	0.89	-106.627	-14.7552
GL98_UP	GL98	Alps	1.3	7.55	11.9	100.7	338.4	27.2	21.2	0	45.9352	6.922	1599	45.9357	6.9223	1591	4202	2934	64	8	315	36.91	0.54	68.59	8	73	20200807	20200807	0.045169	0	0.056185174	1.181973097	0.150071705	2.498583182	0.002040118	30.903245	NA	12162640.27	NA	3.389	2.510333333	1.033666667	2.065666667	1.022	0.006666667	0.005666667	0.004666667	1.207	1.3463	1.290179667	0.984976	0.090812333	0.062423333	0.045994333	0.016370333	172	0.41178	0.88569	0.21001	2.50267	0.19203	3.60154	3.41	12.93	67.35	0.57	-103.566	-14.3909
GL99_DN	GL99	Alps	0.6	7.11	11.1	99.6	264.3	28.8	33.5	0	45.8966	6.8846	2300	45.8982	6.8827	2205	3711	2797	238	95	315	0.94	0.37	2.54	NA	NA	20200807	20200807	0.048206889	0.134519	0.093453706	3.632206936	0.072947341	1.17203996	0.113979468	67.04745833	NA	10674416.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96017	1.03203	0.33545	2.36948	0.26789	5.21035	2.39	16.78	169.83	0.85	-96.8988	-13.5391
GL99_UP	GL99	Alps	0	7.4	11.3	100.2	260	28.8	30.3	0	45.8966	6.8846	2300	45.8973	6.8842	2244	3711	2797	82	56	315	0.94	0.38	2.5	NA	NA	20200807	20200807	0.044533	0.017914	0.021554628	6.675578547	0.105163477	0.771581002	0.069259071	18.3843975	NA	11306929.27	3.91E-05	5.187666667	3.818333333	2.2075	2.177666667	1.169666667	0.007	0.006333333	0.006	1.105	1.072395	1.308366	0.548584333	0.020743333	0.021469	0.012896333	0.007834667	114.5	0.93602	1.015119	0.288956	2.202294	0.217	5.306045	1.93	9.78	167.46	0.92	-96.5081	-13.4723
