Row.names	sub_grp_6	d	p	c	o	f	g	s	
2852	GLR81_GL56_UP_2_metabat_29	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__172606-1	g__CADCTQ01	s__
2853	GLR81_GL56_UP_2_metabinner_1	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__
27	336R_metabinner_23	5	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__	g__	s__
50	338R_concoct_142	5	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__UBA1977	g__	s__
112	GFS_1003	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
141	GFS_10315	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA10212	g__	s__
145	GFS_10335	5	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__JACQFT01	s__
155	GFS_1049	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
161	GFS_10512	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__Moranbacterales	f__UBA2206	g__UBA9630	s__
172	GFS_10664	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__C7867-002	s__
173	GFS_10668	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__	s__
187	GFS_10842	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
204	GFS_1093	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
207	GFS_10943	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA8515	s__
208	GFS_10948	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__
218	GFS_11017	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__GWB1-50-10	g__	s__
227	GFS_112	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__CAIZLB01	g__CAIZLB01	s__
245	GFS_11475	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
250	GFS_11518	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
285	GFS_11876	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__JAGOOR01	g__JAGOOR01	s__
314	GFS_12037	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__JAACPR01	g__	s__
318	GFS_12111	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
322	GFS_12125	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__	s__
323	GFS_12135	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__JAGOOR01	g__JAGOOR01	s__
324	GFS_12189	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
326	GFS_12195	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
331	GFS_12220	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
343	GFS_12371	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
346	GFS_12383	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
351	GFS_12411	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
353	GFS_12429	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
356	GFS_12447	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
372	GFS_12610	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
373	GFS_12611	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
375	GFS_12614	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
376	GFS_12617	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
378	GFS_12623	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
380	GFS_12632	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__	g__	s__
381	GFS_12635	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
383	GFS_12637	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
384	GFS_12642	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
387	GFS_12657	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
397	GFS_12699	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
408	GFS_12822	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__JAGOSA01	s__
417	GFS_12844	5	d__Bacteria	p__Planctomycetota	c__UBA11346	o__	f__	g__	s__
422	GFS_12865	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__	g__	s__
436	GFS_12962	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
440	GFS_12994	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
441	GFS_130	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
456	GFS_13148	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
463	GFS_13250	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
465	GFS_13261	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
472	GFS_13345	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
475	GFS_13365	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
483	GFS_134	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
489	GFS_13420	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
499	GFS_13516	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__JAGONL01	s__
520	GFS_13726	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
526	GFS_1377	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__UBA4665	s__
528	GFS_1383	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
530	GFS_13853	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
541	GFS_13950	5	d__Bacteria	p__Patescibacteria	c__	o__	f__	g__	s__
553	GFS_1408	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
567	GFS_14379	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
571	GFS_14393	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
578	GFS_14486	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
587	GFS_1518	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
608	GFS_1662	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__CAIZLB01	g__CAIZLB01	s__
613	GFS_1696	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JACDFO01	g__	s__
624	GFS_1826	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
629	GFS_1902	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
635	GFS_1994	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
646	GFS_2100	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__	s__
647	GFS_2103	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA8515	s__
667	GFS_2183	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__SBAW01	g__GWA1-54-10	s__
686	GFS_2264	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__UBA5150	s__
700	GFS_2383	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2100	g__UBA10103	s__
706	GFS_2430	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__CAIOGI01	s__
737	GFS_2649	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
745	GFS_2750	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__AQU-01	g__AQU-01	s__
754	GFS_2860	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
761	GFS_2902	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
764	GFS_2925	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
767	GFS_2951	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA10212	g__	s__
775	GFS_3016	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__JACMRA01	g__	s__
781	GFS_3055	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA6164	g__JAACSU01	s__
782	GFS_3062	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__	s__
784	GFS_3093	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
797	GFS_3150	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__	g__	s__
804	GFS_3221	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
805	GFS_3228	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
806	GFS_3232	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__JAGOPC01	s__
810	GFS_3253	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
828	GFS_3390	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
832	GFS_3417	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__JAACPR01	g__	s__
833	GFS_3428	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
835	GFS_3453	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
836	GFS_3474	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
840	GFS_3553	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
846	GFS_3657	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
851	GFS_3738	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
856	GFS_3829	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
860	GFS_3870	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__	s__
892	GFS_4065	5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Amoebophilaceae	g__	s__
917	GFS_4339	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2100	g__UBA10103	s__
926	GFS_4440	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
927	GFS_4441	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
928	GFS_4442	5	d__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Peribacterales	f__Peribacteraceae	g__JAGORY01	s__
941	GFS_455	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA4124	s__
969	GFS_4738	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2100	g__UBA10103	s__
994	GFS_4946	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1005	GFS_5198	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1006	GFS_5233	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1007	GFS_5272	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__	g__	s__
1008	GFS_5273	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JACDBH01	g__JACDBH01	s__
1012	GFS_5288	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__VEQN01	g__	s__
1049	GFS_5522	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__CAIRYW01	g__	s__
1051	GFS_5529	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1076	GFS_5687	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__	s__
1086	GFS_5742	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
1100	GFS_5782	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__Moranbacterales	f__UBA1568	g__UBA1568	s__
1102	GFS_5796	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1108	GFS_5816	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__JACMRA01	g__	s__
1121	GFS_5930	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JACDBH01	g__	s__
1149	GFS_6063	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
1153	GFS_6108	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__CAIOGI01	s__
1155	GFS_6112	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1156	GFS_6115	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1160	GFS_6143	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
1161	GFS_6146	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1176	GFS_6291	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1179	GFS_6306	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1180	GFS_6309	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1189	GFS_6367	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
1211	GFS_6516	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__2-12-FULL-41-12	g__	s__
1214	GFS_6584	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1230	GFS_6731	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1234	GFS_6762	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__RFTN01	s__
1237	GFS_6774	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2100	g__UBA10103	s__
1244	GFS_6819	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
1253	GFS_6887	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__UBA4664	f__UBA4664	g__UBA5169	s__
1259	GFS_6964	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__2-12-FULL-41-12	g__	s__
1269	GFS_7027	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__SBAW01	g__GWA1-54-10	s__
1270	GFS_7029	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
1279	GFS_7155	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__JAGOOR01	g__JAGOOR01	s__
1280	GFS_7156	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
1281	GFS_7157	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__Moranbacterales	f__UBA1568	g__UBA1568	s__
1282	GFS_7162	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1287	GFS_7187	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__	s__
1292	GFS_7244	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__SBAW01	g__GWA1-54-10	s__
1298	GFS_7411	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
1305	GFS_7435	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__SBAW01	g__GWA1-54-10	s__
1321	GFS_7556	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
1323	GFS_7590	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
1338	GFS_7744	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__	g__	s__
1351	GFS_7960	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__UBA4664	f__	g__	s__
1356	GFS_7992	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__RFTN01	s__
1358	GFS_8026	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1359	GFS_8028	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1369	GFS_8148	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
1389	GFS_8391	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA8515	s__
1393	GFS_8488	5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__	s__
1398	GFS_8536	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__	g__	s__
1407	GFS_8628	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1411	GFS_8650	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1413	GFS_8656	5	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__CAIJZX01	s__
1414	GFS_8658	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__RFTN01	s__
1426	GFS_8852	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__JACMRA01	g__	s__
1431	GFS_8903	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__Aalborg-AAW-1	s__
1434	GFS_8930	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
1435	GFS_8935	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__CAIVSN01	s__
1444	GFS_9010	5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__GCA-2402195	s__
1445	GFS_9019	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1472	GFS_9266	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__JACMRA01	g__	s__
1477	GFS_9287	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__	g__	s__
1485	GFS_9307	5	d__Bacteria	p__Dependentiae	c__Babeliae	o__Babeliales	f__Vermiphilaceae	g__	s__
1491	GFS_9355	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA6175	s__
1501	GFS_9404	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__CAIOGI01	s__
1520	GFS_9566	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
1537	GFS_9723	5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Deianiraeaceae	g__	s__
1539	GFS_975	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
1546	GFS_9835	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__	g__	s__
1553	GFS_9894	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
1556	GFS_995	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA6164	g__	s__
1567	GL102_DN_metabinner_13_sub	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA1006	g__	s__
1592	GL106_UP_metabat_27	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
1596	GL106_UP_metabinner_5	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__CAIZLB01	g__CAIZLB01	s__
1601	GL109_DN_metabat_33	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1605	GL109_DN_metabinner_7	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__RFTN01	s__
1617	GL114_DN_metabat_102	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1621	GL114_DN_metabinner_11	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
1622	GL114_DN_metabinner_19_sub	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
1628	GL114_DN_metabinner_8	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
1637	GL115_UP_metabinner_16	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1644	GL116_DN_metabat_24	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
1649	GL116_DN_metabinner_17_sub	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
1651	GL116_DN_metabinner_37_sub	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__JAGONL01	s__
1653	GL116_DN_metabinner_44	5	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
1658	GL116_UP_concoct_39	5	d__Bacteria	p__UBP17	c__UBA6191	o__	f__	g__	s__
1670	GL117_UP_concoct_184_sub	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
1681	GL117_UP_metabinner_13	5	d__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Peribacterales	f__Peribacteraceae	g__JACRIG01	s__
1683	GL117_UP_metabinner_71	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JACDBH01	g__JACDBH01	s__
1690	GL119_DN_metabat_62	5	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__MT37	g__	s__
1693	GL119_DN_metabinner_42	5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__C7867-002	s__
1721	GL122_UP_concoct_153_sub	5	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__	g__	s__
1730	GL122_UP_metabinner_21_sub	5	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__JACMRA01	g__	s__
